"BehaviorSpace results (NetLogo 6.2.2)"
"River Meanders.nlogo"
"regular-picking"
"05/06/2022 11:57:10:139 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-322","322","-237","237"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64","65","65","66","66","67","67","68","68","69","69","70","70","71","71","72","72","73","73","74","74","75","75","76","76","77","77","78","78","79","79","80","80","81","81","82","82","83","83","84","84","85","85","86","86","87","87","88","88","89","89","90","90","91","91","92","92","93","93","94","94","95","95","96","96","97","97","98","98","99","99","100","100"
"regular-picking","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",
"big-effort","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"daily","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"3",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"6",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"8",,"9",,"9",,"9",,"9",,"9",,"9",,"9",,"9",,"9",,"9",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"[reporter]","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking","ticks-at-zero","days-spent-picking"
"[final]","158","159","161","162","155","156","151","152","163","164","144","145","164","165","161","162","155","156","161","162","114","230","115","232","121","244","110","222","114","230","119","240","119","240","118","238","124","250","115","232","33","102","104","315","104","315","109","330","100","303","99","300","107","324","104","315","36","111","98","297","35","144","104","420","43","176","49","200","31","128","47","192","37","152","50","204","47","192","88","356","30","155","27","140","30","155","30","155","28","145","42","215","51","260","29","150","43","220","47","240","24","150","42","258","23","144","27","168","48","294","44","270","26","162","21","132","29","180","40","246","24","175","22","161","19","140","23","168","18","133","21","154","21","154","21","154","27","196","23","168","17","144","20","168","21","176","21","176","19","160","26","216","22","184","21","176","16","136","22","184","16","153","20","189","20","189","19","180","22","207","21","198","19","180","21","198","21","198","18","171","17","180","21","220","21","220","19","200","23","240","15","160","18","190","16","170","16","170","18","190"
"[min]","158","0","161","0","155","0","151","0","163","0","144","0","164","0","161","0","155","0","161","0","114","0","115","0","121","0","110","0","114","0","119","0","119","0","118","0","124","0","115","0","33","0","104","0","104","0","109","0","100","0","99","0","107","0","104","0","36","0","98","0","35","0","104","0","43","0","49","0","31","0","47","0","37","0","50","0","47","0","88","0","30","0","27","0","30","0","30","0","28","0","42","0","51","0","29","0","43","0","47","0","24","0","42","0","23","0","27","0","48","0","44","0","26","0","21","0","29","0","40","0","24","0","22","0","19","0","23","0","18","0","21","0","21","0","21","0","27","0","23","0","17","0","20","0","21","0","21","0","19","0","26","0","22","0","21","0","16","0","22","0","16","0","20","0","20","0","19","0","22","0","21","0","19","0","21","0","21","0","18","0","17","0","21","0","21","0","19","0","23","0","15","0","18","0","16","0","16","0","18","0"
"[max]","100000","159","100000","162","100000","156","100000","152","100000","164","100000","145","100000","165","100000","162","100000","156","100000","162","100000","230","100000","232","100000","244","100000","222","100000","230","100000","240","100000","240","100000","238","100000","250","100000","232","100000","102","100000","315","100000","315","100000","330","100000","303","100000","300","100000","324","100000","315","100000","111","100000","297","100000","144","100000","420","100000","176","100000","200","100000","128","100000","192","100000","152","100000","204","100000","192","100000","356","100000","155","100000","140","100000","155","100000","155","100000","145","100000","215","100000","260","100000","150","100000","220","100000","240","100000","150","100000","258","100000","144","100000","168","100000","294","100000","270","100000","162","100000","132","100000","180","100000","246","100000","175","100000","161","100000","140","100000","168","100000","133","100000","154","100000","154","100000","154","100000","196","100000","168","100000","144","100000","168","100000","176","100000","176","100000","160","100000","216","100000","184","100000","176","100000","136","100000","184","100000","153","100000","189","100000","189","100000","180","100000","207","100000","198","100000","180","100000","198","100000","198","100000","171","100000","180","100000","220","100000","220","100000","200","100000","240","100000","160","100000","190","100000","170","100000","170","100000","190"
"[mean]","99375.9875","79.5","99387.49079754601","81","99364.04458598726","78","99347.39215686274","76","99394.92727272728","82","99316.05479452055","72.5","99398.578313253","82.5","99387.49079754601","81","99364.04458598726","78","99387.49079754601","81","99138.91379310345","115","99146.28205128205","116","99187.9756097561","122","99108.125","111","99138.91379310345","115","99174.53719008264","120","99174.53719008264","120","99167.65","119","99207.33333333333","125","99146.28205128205","116","97143.8","51","99057.58490566038","157.5","99057.58490566038","157.5","99100.08108108108","165","99020.58823529411","151.5","99010.88118811882","150","99083.5504587156","162","99057.58490566038","157.5","97369.36842105263","55.5","99000.98","148.5","97298.24324324324","72","99057.58490566038","210","97778.73333333334","88","98040.17647058824","100","96970.63636363637","64","97960.14285714286","96","97436.84615384616","76","98077.88461538461","102","97960.14285714286","96","98889.86666666667","178","96875.9375","77.5","96552.6551724138","70","96875.9375","77.5","96875.9375","77.5","96667.6","72.5","97728.22727272728","107.5","98114.16981132075","130","96775.12903225806","75","97778.73333333334","110","97960.14285714286","120","96154.76923076923","75","97728.22727272728","129","96000.92","72","96552.6551724138","84","98000.96","147","97827.04347826086","135","96429.5","81","95653.08695652174","66","96775.12903225806","90","97620","123","96154.76923076923","87.5","95834.25","80.5","95239","70","96000.92","84","95000.9","66.5","95653.08695652174","77","95653.08695652174","77","95653.08695652174","77","96552.6551724138","98","96000.92","84","94737.73684210527","72","95455.45454545454","84","95653.08695652174","88","95653.08695652174","88","95239","80","96429.5","108","95834.25","92","95653.08695652174","88","94445.33333333333","68","95834.25","92","94445.33333333333","76.5","95455.45454545454","94.5","95455.45454545454","94.5","95239","90","95834.25","103.5","95653.08695652174","99","95239","90","95653.08695652174","99","95653.08695652174","99","95000.9","85.5","94737.73684210527","90","95653.08695652174","110","95653.08695652174","110","95239","100","96000.92","120","94118.5294117647","80","95000.9","95","94445.33333333333","85","94445.33333333333","85","95000.9","95"
"[steps]","159","159","162","162","156","156","152","152","164","164","145","145","165","165","162","162","156","156","162","162","115","115","116","116","122","122","111","111","115","115","120","120","120","120","119","119","125","125","116","116","34","34","105","105","105","105","110","110","101","101","100","100","108","108","105","105","37","37","99","99","36","36","105","105","44","44","50","50","32","32","48","48","38","38","51","51","48","48","89","89","31","31","28","28","31","31","31","31","29","29","43","43","52","52","30","30","44","44","48","48","25","25","43","43","24","24","28","28","49","49","45","45","27","27","22","22","30","30","41","41","25","25","23","23","20","20","24","24","19","19","22","22","22","22","22","22","28","28","24","24","18","18","21","21","22","22","22","22","20","20","27","27","23","23","22","22","17","17","23","23","17","17","21","21","21","21","20","20","23","23","22","22","20","20","22","22","22","22","19","19","18","18","22","22","22","22","20","20","24","24","16","16","19","19","17","17","17","17","19","19"
